city,lat,lng,iso2,admin_name
Malisheve,42.4822,20.7458,XK,Malishevë
Prizren,42.2139,20.7397,XK,Prizren
Zubin Potok,42.9144,20.6897,XK,Zubin Potok
Kamenice,42.5781,21.5803,XK,Kamenicë
Viti,42.3214,21.3583,XK,Viti
Shterpce,42.2394,21.0272,XK,Shtërpcë
Shtime,42.4331,21.0397,XK,Shtime
Vushtrri,42.8231,20.9675,XK,Vushtrri
Dragash,42.0265,20.6533,XK,Dragash
Podujeve,42.9111,21.1899,XK,Podujevë
Fushe Kosove,42.6639,21.0961,XK,Fushë Kosovë
Kacanik,42.2319,21.2594,XK,Kaçanik
Kline,42.6217,20.5778,XK,Klinë
Leposaviq,43.1039,20.8028,XK,Leposaviq
Peje,42.66,20.2922,XK,Pejë
Rahovec,42.3994,20.6547,XK,Rahovec
Gjilan,42.4689,21.4633,XK,Gjilan
Lipjan,42.5217,21.1258,XK,Lipjan
Obiliq,42.6869,21.0703,XK,Obiliq
Gjakove,42.3803,20.4308,XK,Gjakovë
Pristina,42.6666,21.1724,XK,Prishtinë
Decan,42.5378,20.2911,XK,Deçan
Istog,42.7808,20.4875,XK,Istog
Hani i Elezit,42.15,21.2967,XK,Hani i Elezit
Junik,42.4758,20.2772,XK,Junik
Kllokot,42.3714,21.3744,XK,Kllokot
Mamushe,42.3308,20.7269,XK,Mamushë
Partesh,42.4019,21.4336,XK,Partesh
Ranillug,42.4922,21.5989,XK,Ranillug
Ferizaj,42.3706,21.1553,XK,Ferizaj
Zvecan,42.9075,20.8403,XK,Zveçan
Suhareke,42.3586,20.825,XK,Suharekë
Gllogovc,42.6283,20.8939,XK,Gllogovc
Mitrovice,42.8833,20.8667,XK,
Skenderaj,42.7467,20.7886,XK,Skenderaj 
Novoberde,42.6178,21.4197,XK,Novobërdë
Gracanice,42.6011,21.1958,XK,Graçanicë
Longyearbyen,78.2167,15.6333,XR,
Sanaa,15.3547,44.2066,YE,Amānat al ‘Āşimah
Marib,15.421,45.334,YE,Ma’rib
Al Jabin,14.704,43.599,YE,Raymah
Hajjah,15.6917,43.6021,YE,Ḩajjah
Ibb,13.9759,44.1709,YE,Ibb
Al Hudaydah,14.7979,42.953,YE,Al Ḩudaydah
Lahij,13.0582,44.8838,YE,Laḩij
Al Mahwit,15.4701,43.5448,YE,Al Maḩwīt
Taizz,13.6045,44.0394,YE,Ta‘izz
Sadah,16.9398,43.8498,YE,Şa‘dah
Dhamar,14.5575,44.3875,YE,Dhamār
`Amran,15.6594,43.9439,YE,‘Amrān
Ad Dali`,13.6957,44.7314,YE,Aḑ Ḑāli‘
Saywun,15.943,48.7873,YE,Ḩaḑramawt
Al Bayda,13.979,45.574,YE,Al Bayḑā’
Zinjibar,13.1287,45.3807,YE,Abyan
Rida,14.4295,44.8341,YE,Al Bayḑā’
'Ataq,14.55,46.8,YE,Shabwah
Al Ghaydah,16.2394,52.1638,YE,Al Mahrah
Sayhut,15.2105,51.2454,YE,Al Mahrah
Al Mukalla,14.5412,49.1259,YE,Ḩaḑramawt
Al Hazm,16.1641,44.7769,YE,Al Jawf
Zabid,14.1951,43.3155,YE,Al Ḩudaydah
Aden,12.7797,45.0095,YE,‘Adan
Hadiboh,12.6519,54.0239,YE,Arkhabīl Suquţrá
Ash Shihr,14.7593,49.6092,YE,Ḩaḑramawt
Dzaoudzi,-12.7871,45.275,YT,
Pretoria,-25.7069,28.2294,ZA,Gauteng
Lebowakgomo,-24.1996,29.5,ZA,Limpopo
Potchefstroom,-26.6996,27.1,ZA,North West
Graaff Reinet,-32.3,24.54,ZA,Eastern Cape
Rustenburg,-25.65,27.24,ZA,North West
Brandfort,-28.6996,26.47,ZA,Free State
Vryheid,-27.76,30.79,ZA,KwaZulu-Natal
Vereeniging,-26.6496,27.96,ZA,Gauteng
Brits,-25.6296,27.78,ZA,North West
Bethlehem,-28.2196,28.3,ZA,Free State
Ubomba,-27.5661,32.0833,ZA,KwaZulu-Natal
Polokwane,-23.89,29.45,ZA,Limpopo
Springbok,-29.6667,17.8833,ZA,Northern Cape
Thohoyandou,-22.95,30.48,ZA,Limpopo
Pietermaritzburg,-29.61,30.39,ZA,KwaZulu-Natal
Poffader,-29.1329,19.3834,ZA,Northern Cape
Carnarvon,-30.9496,22.1333,ZA,Northern Cape
Kroonstad,-27.66,27.21,ZA,Free State
Alexander Bay,-28.6083,16.5033,ZA,Northern Cape
Bloemhof,-27.6496,25.59,ZA,North West
Hermanus,-34.4096,19.2299,ZA,Western Cape
Bethal,-26.4696,29.45,ZA,Mpumalanga
Upington,-28.46,21.23,ZA,Northern Cape
Tzaneen,-23.8195,30.17,ZA,Limpopo
Vanhynsdorp,-31.6166,18.7333,ZA,Western Cape
Musina,-22.34,30.03,ZA,Limpopo
Kimberley,-28.7468,24.77,ZA,Northern Cape
Durban,-29.865,30.98,ZA,KwaZulu-Natal
Klerksdorp,-26.88,26.62,ZA,North West
Welkom,-27.97,26.73,ZA,Free State
De Aar,-30.65,24,ZA,Northern Cape
Prieska,-29.6595,22.73,ZA,Northern Cape
Saldanha,-33.01,17.93,ZA,Western Cape
Middelburg,-31.5,25.01,ZA,Eastern Cape
Port St. Johns,-31.6279,29.5283,ZA,Eastern Cape
Volksrust,-27.3596,29.89,ZA,Mpumalanga
Ulundi,-28.3296,31.41,ZA,KwaZulu-Natal
Beaufort West,-32.3496,22.57,ZA,Western Cape
Komatipoort,-25.4096,31.94,ZA,Mpumalanga
Nelspruit,-25.4745,30.9703,ZA,Mpumalanga
Standerton,-26.9395,29.24,ZA,Mpumalanga
Johannesburg,-26.17,28.03,ZA,Gauteng
Kuruman,-27.4496,23.42,ZA,Northern Cape
Paarl,-33.6996,18.96,ZA,Western Cape
Worcester,-33.64,19.4399,ZA,Western Cape
Colesberg,-30.7195,25.1,ZA,Northern Cape
Umtata,-31.58,28.79,ZA,Eastern Cape
Aliwal North,-30.6896,26.71,ZA,Eastern Cape
Middelburg,-25.7596,29.47,ZA,Mpumalanga
Springs,-26.2696,28.43,ZA,Gauteng
Benoni,-26.1496,28.3299,ZA,Gauteng
Port Shepstone,-30.7195,30.46,ZA,KwaZulu-Natal
Oudtshoorn,-33.58,22.19,ZA,Western Cape
Port Elizabeth,-33.97,25.6,ZA,Eastern Cape
Port Alfred,-33.5995,26.88,ZA,Eastern Cape
East London,-32.97,27.87,ZA,Eastern Cape
Mossel Bay,-34.17,22.13,ZA,Western Cape
Vryburg,-26.96,24.73,ZA,North West
Uitenhage,-33.7596,25.39,ZA,Eastern Cape
Bhisho,-32.87,27.39,ZA,Eastern Cape
Knysna,-34.0329,23.0333,ZA,Western Cape
Queenstown,-31.8996,26.88,ZA,Eastern Cape
Cradock,-32.1995,25.61,ZA,Eastern Cape
Bredasdorp,-34.5295,20.03,ZA,Western Cape
Swellendam,-34.0196,20.43,ZA,Western Cape
Ladysmith,-28.5495,29.78,ZA,KwaZulu-Natal
George,-33.95,22.45,ZA,Western Cape
Grahamstown,-33.2996,26.52,ZA,Eastern Cape
Mmabatho,-25.83,25.61,ZA,North West
Mahikeng,-25.8652,25.6442,ZA,North West
Bloemfontein,-29.12,26.2299,ZA,Free State
Cape Town,-33.92,18.435,ZA,Western Cape
Zambezi,-13.54,23.1099,ZM,North-Western
Solwezi,-12.1796,26.4,ZM,North-Western
Lusaka,-15.4166,28.2833,ZM,Lusaka
Kaoma,-14.7796,24.8,ZM,Western
Chipata,-13.6296,32.64,ZM,Eastern
Senanga,-16.1196,23.27,ZM,Western
Sesheke,-17.4695,24.3,ZM,Western
Chililabombwe,-12.3696,27.82,ZM,Copperbelt
Chingola,-12.5396,27.85,ZM,Copperbelt
Kasempa,-13.4596,25.82,ZM,North-Western
Kitwe,-12.81,28.22,ZM,Copperbelt
Mufulira,-12.55,28.26,ZM,Copperbelt
Nchelenge,-9.3496,28.73,ZM,Luapula
Mazabuka,-15.86,27.76,ZM,Southern
Lukulu,-14.3896,23.24,ZM,Western
Kafue,-15.78,28.18,ZM,Lusaka
Lundazi,-12.2895,33.17,ZM,Eastern
Mansa,-11.2,28.89,ZM,Luapula
Mwinilunga,-11.7396,24.44,ZM,North-Western
Mumbwa,-14.9796,27.07,ZM,Central
Kalabo,-14.9896,22.68,ZM,Western
Nyimba,-14.5495,30.81,ZM,Eastern
Kapiri Mposhi,-13.9696,28.66,ZM,Central
Kabwe,-14.44,28.45,ZM,Central
Ndola,-12.9999,28.65,ZM,Copperbelt
Kasama,-10.1996,31.1799,ZM,Northern
Mbala,-8.84,31.37,ZM,Northern
Kawambwa,-9.7795,29.08,ZM,Luapula
Luanshya,-13.1333,28.4,ZM,Copperbelt
Mongu,-15.2796,23.12,ZM,Western
Mpika,-11.83,31.46,ZM,Muchinga
Chinsali,-10.5496,32.06,ZM,Muchinga
Livingstone,-17.86,25.86,ZM,Southern
Choma,-16.8095,26.97,ZM,Southern
Plumtree,-20.4795,27.82,ZW,
Kariba,-16.5296,28.8,ZW,
Hwange,-18.37,26.5,ZW,
Chiredzi,-21.0496,31.66,ZW,
Mazowe,-17.5196,30.97,ZW,Mashonaland Central
Zvishavane,-20.3296,30.05,ZW,Masvingo
Shamva,-17.3196,31.57,ZW,Mashonaland Central
Harare,-17.8178,31.0447,ZW,Harare
Kwekwe,-18.9296,29.8,ZW,Midlands
Kadoma,-18.33,29.9099,ZW,Mashonaland West
Gwanda,-20.9396,29.01,ZW,Matabeleland South
Chinhoyi,-17.3596,30.18,ZW,
Beitbridge,-22.2096,29.99,ZW,
Mutare,-18.97,32.65,ZW,Manicaland
Gweru,-19.45,29.82,ZW,
Karoi,-16.8196,29.68,ZW,Mashonaland West
Masvingo,-20.0596,30.82,ZW,Masvingo
Bulawayo,-20.17,28.58,ZW,Bulawayo
Victoria Falls,-17.9296,25.84,ZW,Matabeleland North
Chitungwiza,-18,31.1,ZW,Harare
Maqat,47.6482,53.3265,KZ,Atyraū
Zhangaozen,43.3004,52.8,KZ,Mangghystaū
Taraz,42.9,71.365,KZ,Zhambyl
Shymkent,42.32,69.595,KZ,Ongtüstik Qazaqstan
Oral,51.2711,51.335,KZ,Batys Qazaqstan
Balqash,46.8532,74.9502,KZ,Qaraghandy
Zaysan,47.4752,84.8598,KZ,Shyghys Qazaqstan
Oytal,42.9153,73.2549,KZ,Zhambyl
Zholymbet,51.7502,71.7099,KZ,Aqmola
Serebryansk,49.6999,83.4249,KZ,Shyghys Qazaqstan
Chapaev,50.1915,51.1449,KZ,Batys Qazaqstan
Ridder,50.3554,83.5149,KZ,Shyghys Qazaqstan
Zhaltyr,51.6324,69.8328,KZ,Aqmola
Atbasar,51.8219,68.3477,KZ,Aqmola
Aqsay,51.1714,53.0349,KZ,Batys Qazaqstan
Shemonaikha,50.6316,81.905,KZ,Shyghys Qazaqstan
Atasu,48.6903,71.6499,KZ,Qaraghandy
Rudny,52.9527,63.13,KZ,Qostanay
Makhambet,47.6714,51.5798,KZ,Atyraū
Fort Shevchenko,44.5171,50.2666,KZ,Mangghystaū
Qusmuryn,52.458,64.6,KZ,Qostanay
Oktyabrsk,49.4731,57.4449,KZ,Aqtöbe
Khromtau,50.2699,58.45,KZ,Aqtöbe
Algha,49.9032,57.335,KZ,Aqtöbe
Embi,48.8268,58.1442,KZ,Aqtöbe
Ushtobe,45.2653,77.97,KZ,Almaty
Burylbaytal,44.9387,74.0303,KZ,Zhambyl
Zhanibek,49.4276,46.8772,KZ,Batys Qazaqstan
Esil,51.957,66.3775,KZ,Aqmola
Derzhavinsk,51.1021,66.3075,KZ,Aqmola
Saryshaghan,46.1195,73.6191,KZ,Qaraghandy
Turgay,49.626,63.499,KZ,Qostanay
Sarqan,45.4203,79.9149,KZ,Almaty
Arqalyq,50.2418,66.8976,KZ,Qostanay
Shalqar,47.8363,59.6141,KZ,Aqtöbe
Shieli,44.167,66.75,KZ,Qyzylorda
Bayghanin,48.6917,55.874,KZ,Aqtöbe
Zhezqazghan,47.78,67.77,KZ,Qaraghandy
Mangyshlak,43.6905,51.1417,KZ,Mangghystaū
Zhosaly,45.4877,64.078,KZ,Qyzylorda
Beyneu,45.1834,55.1,KZ,Mangghystaū
Qazaly,45.7628,62.1075,KZ,Qyzylorda
Aral,46.8,61.6666,KZ,Qyzylorda
Ayakoz,47.9647,80.4297,KZ,Shyghys Qazaqstan
Urzhar,47.1002,81.6048,KZ,Shyghys Qazaqstan
Qapshaghay,43.8844,77.0687,KZ,Almaty
Esik,43.3691,77.4438,KZ,Almaty
Turkistan,43.3016,68.2549,KZ,Ongtüstik Qazaqstan
Qaratau,43.1854,70.46,KZ,Zhambyl
Sharbaqty,52.4999,78.1499,KZ,Pavlodar
Oostanay,53.2209,63.6283,KZ,Qostanay
Kachiry,53.0804,76.09,KZ,Pavlodar
Kishkenekol,53.6368,72.3414,KZ,Soltüstik Qazaqstan
Bulaevo,54.9053,70.44,KZ,Soltüstik Qazaqstan
Shonzhy,43.5421,79.4703,KZ,Almaty
Qyzylorda,44.8,65.465,KZ,Qyzylorda
Qaraghandy,49.885,73.115,KZ,Qaraghandy
Ertis,53.3453,75.4499,KZ,Pavlodar
Tayynsha,53.8481,69.7638,KZ,Soltüstik Qazaqstan
Qulan,42.9204,72.705,KZ,Zhambyl
Shu,43.5953,73.7448,KZ,Zhambyl
Kentau,43.5165,68.5199,KZ,Ongtüstik Qazaqstan
Oskemen,49.99,82.6149,KZ,Shyghys Qazaqstan
Aqtau,43.6232,51.2365,KZ,Mangghystaū
Taldyqorghan,45,78.4,KZ,Almaty
Astana,51.1811,71.4278,KZ,Astana
Aqtobe,50.28,57.17,KZ,Aqtöbe
Kokshetau,53.3,69.42,KZ,Aqmola
Petropavlovsk,54.88,69.22,KZ,Soltüstik Qazaqstan
Pavlodar,52.3,76.95,KZ,Pavlodar
Otar,43.5346,75.2139,KZ,Zhambyl
Almaty,43.325,76.915,KZ,Almaty
Bestobe,52.4997,73.0997,KZ,Aqmola
Arys,42.4369,68.8048,KZ,Ongtüstik Qazaqstan
Lenger,42.1899,69.8799,KZ,Ongtüstik Qazaqstan
Aqsu,52.4502,71.9597,KZ,Aqmola
Temirtau,50.065,72.965,KZ,Qaraghandy
Makinsk,52.6404,70.41,KZ,Aqmola
Osakarovka,50.5799,72.5699,KZ,Qaraghandy
Qarqaraly,49.4249,75.4649,KZ,Qaraghandy
Ekibastuz,51.73,75.3199,KZ,Pavlodar
Zyryanovsk,49.7453,84.2548,KZ,Shyghys Qazaqstan
Komsomolets,53.7506,62.0502,KZ,Qostanay
Baykonur,45.6914,63.2413,KZ,Qyzylorda
Erymentau,51.6303,73.1049,KZ,Aqmola
Qarazhal,48.0253,70.7999,KZ,Qaraghandy
Tobol,52.698,62.5749,KZ,Qostanay
Shar,49.6003,81.0549,KZ,Shyghys Qazaqstan
Semey,50.435,80.275,KZ,Shyghys Qazaqstan
Boralday,43.3341,76.8288,KZ,Almaty
Zhetiqara,52.193,61.2399,KZ,Qostanay
Aqadyr,48.2749,72.8599,KZ,Qaraghandy
Zharkent,44.1616,79.9801,KZ,Almaty
Qulsary,46.9833,54.0165,KZ,Atyraū
Balyqshy,47.0666,51.8666,KZ,Atyraū
Atyrau,47.1127,51.92,KZ,Atyraū
Xiangkhoang,19.3337,103.3666,LA,Xiangkhouang
Muang Phonsavan,19.45,103.2167,LA,Xiangkhouang
Vientiane,17.9667,102.6,LA,Viangchan
Ban Houayxay,20.2775,100.4128,LA,Bokèo
Muang Phon-Hong,18.4957,102.4142,LA,Viangchan
Louang Namtha,20.95,101.4167,LA,Louangnamtha
Phongsali,21.6833,102.1,LA,Phôngsali
Thakhek,17.4112,104.8361,LA,Khammouan
Muang Pakxan,18.3826,103.6586,LA,Bolikhamxai
Louangphrabang,19.8845,102.1416,LA,Louangphabang
Xaignabouri,19.2505,101.7501,LA,Xaignabouli
Savannakhet,16.5376,104.773,LA,Savannakhét
Lamam,15.4171,106.6946,LA,Xékong
Pakxe,15.1221,105.8183,LA,Champasak
Attapu,14.808,106.839,LA,Attapu
Xam Nua,20.4167,104.0333,LA,Houaphan
Muang Xai,20.6923,101.9847,LA,Oudômxai
Saravan,15.716,106.427,LA,Salavan
Champasak,14.8833,105.8667,LA,Champasak
Beirut,33.872,35.5097,LB,Beyrouth
Zahle,33.8501,35.9042,LB,Béqaa
Baalbek,34.0058,36.2181,LB,Baalbek-Hermel
B'abda,33.8333,35.5333,LB,Mont-Liban
Halba,34.5428,36.0797,LB,Aakkâr
Saida,33.563,35.3688,LB,Liban-Sud
Nabatiye et Tahta,33.3833,35.45,LB,Nabatîyé
Trablous,34.42,35.87,LB,Liban-Nord
Castries,14.002,-61,LC,Castries
Gamprin,47.2197,9.5113,LI,Gamprin
Triesenberg,47.1182,9.5444,LI,Triesenberg
Schaan,47.1661,9.5096,LI,Schaan
Ruggell,47.2408,9.5247,LI,Ruggell
Mauren,47.2205,9.5426,LI,Mauren
Eschen,47.2109,9.5216,LI,Eschen
Triesen,47.1101,9.524,LI,Triesen
Balzers,47.0667,9.5025,LI,Balzers
Vaduz,47.1337,9.5167,LI,Vaduz
Planken,47.1844,9.5436,LI,Planken
Schellenberg,47.2325,9.5463,LI,Schellenberg
Colombo,6.932,79.8578,LK,Western
Ratnapura,6.693,80.386,LK,Sabaragamuwa
Matara,5.949,80.5428,LK,Southern
Sri Jawewardenepura Kotte,6.9,79.95,LK,Western
Moratuwa,6.7804,79.88,LK,Western
Anuradhapura,8.35,80.3833,LK,North Central
Galle,6.03,80.24,LK,Southern
Puttalan,8.033,79.826,LK,North Western
Kandy,7.28,80.67,LK,Central
Badulla,6.9837,81.0499,LK,Uva
Trincomalee,8.569,81.233,LK,Eastern
Kilinochchi,9.4004,80.3999,LK,Northern
Batticaloa,7.717,81.7,LK,Eastern
Jaffna,9.675,80.005,LK,Northern
Bopolu,7.0667,-10.4875,LR,Gbarpolu
Voinjama,8.4167,-9.75,LR,Lofa
Robertsport,6.7533,-11.3686,LR,Grand Cape Mount
Buchanan,5.9161,-10.0525,LR,Grand Bassa
Monrovia,6.3106,-10.8048,LR,Montserrado
Tubmanburg,6.8706,-10.8211,LR,Bomi
Buchanan,5.8811,-10.0447,LR,Grand Bassa
Zwedru,6.0704,-8.13,LR,Grand Gedeh
Barclayville,4.8,-8.1667,LR,Grand Kru
Rivercess,5.465,-9.578,LR,River Cess
Fish Town,5.1974,-7.8758,LR,River Gee
Gbarnga,7.0104,-9.49,LR,Bong
Kakata,6.526,-10.349,LR,Margibi
Sanniquellie,7.371,-8.685,LR,Nimba
Greenville,5.0111,-9.0388,LR,Sinoe
Bensonville,6.4333,-10.6,LR,Montserrado
Harper,4.3754,-7.717,LR,Maryland
Maseru,-29.3167,27.4833,LS,Maseru
Mokhotlong,-29.291,29.078,LS,Mokhotlong
Thaba-Tseka,-29.522,28.6084,LS,Thaba-Tseka
Moyeni,-30.411,27.716,LS,Quthing
Qacha's Nek,-30.1154,28.6894,LS,Qacha’s Nek
Mafetang,-29.8166,27.25,LS,Mafeteng
Hlotse,-28.878,28.056,LS,Leribe
Teyateyaneng,-29.153,27.753,LS,Berea
Mohales Hoek,-30.159,27.48,LS,Mohale’s Hoek
Butha-Buthe,-28.75,28.25,LS,Butha-Buthe
Klaipeda,55.7204,21.1199,LT,Klaipėdos Miestas
Palanga,55.9203,21.071,LT,Palangos Miestas
Nida,55.3086,20.9965,LT,Neringa
Kretinga,55.8888,21.2445,LT,Kretinga
Taurage,55.2522,22.2897,LT,Tauragė
Silute,55.3453,21.4733,LT,Šilutė
Rietavas,55.7271,21.9234,LT,Rietavo
Plunge,55.9077,21.8456,LT,Plungė
Silale,55.4898,22.1869,LT,Šilalė
Visaginas,55.5968,26.4398,LT,Visaginas
Zarasai,55.7322,26.2512,LT,Zarasai
Ignalina,55.3406,26.1605,LT,Ignalina
Utena,55.4976,25.5992,LT,Utena
Svencionys,55.133,26.1595,LT,Švenčionys
